TOTAL BRUTO ,"",MES ,QUINC.,"","","","","","","","",""
"","",04 - ABRIL ,"","",ABRIL ,05 - MAYO ,"",MAYO ,06 - JUNIO ,"",JUNIO ,Total general
DEPARTAMENTO ,M U N I C I P I O ,1ª ,2ª ,"","",1ª 2ª ,"","",1ª 2ª,"","",""
"",ALPA CORRAL ,48.262 ,82.572 ,"",130.834 ,68.017 88.853 ,"",156.869 ,54.957 109.245 ,"",164.202 ,451.905
"",BERROTARAN ,119.766 ,204.911 ,"",324.677 ,168.790 220.496 ,"",389.286 ,136.380 271.102 ,"",407.483 ,1.121.446
"",BULNES ,50.814 ,86.940 ,"",137.754 ,71.614 93.552 ,"",165.167 ,57.864 115.023 ,"",172.887 ,475.808
"",CHAJAN ,46.723 ,79.940 ,"",126.663 ,65.849 86.020 ,"",151.869 ,53.205 105.763 ,"",158.968 ,437.500
"",CORONEL BAIGORRIA ,56.469 ,96.614 ,"",153.083 ,79.583 103.962 ,"",183.546 ,64.302 127.823 ,"",192.125 ,528.753
"",CORONEL MOLDES ,147.647 ,252.614 ,"",400.261 ,208.084 271.828 ,"",479.912 ,168.130 334.215 ,"",502.344 ,1.382.517
"",ELENA ,74.201 ,126.953 ,"",201.154 ,104.574 136.609 ,"",241.183 ,84.495 167.962 ,"",252.456 ,694.793
"",LA CAUTIVA ,47.736 ,81.674 ,"",129.410 ,67.277 87.886 ,"",155.163 ,54.359 108.057 ,"",162.416 ,446.989
"",LAS ACEQUIAS ,64.834 ,110.927 ,"",175.761 ,91.373 119.364 ,"",210.737 ,73.828 146.759 ,"",220.587 ,607.085
"",LAS HIGUERAS ,111.241 ,190.326 ,"",301.568 ,156.776 204.802 ,"",361.579 ,126.674 251.807 ,"",378.480 ,1.041.626
"",LAS VERTIENTES ,47.712 ,81.632 ,"",129.344 ,67.242 87.841 ,"",155.083 ,54.331 108.001 ,"",162.332 ,446.760
"",MONTE DE LOS GAUCHOS ,46.686 ,79.877 ,"",126.564 ,65.797 85.953 ,"",151.749 ,53.163 105.679 ,"",158.842 ,437.155
"",RIO CUARTO ,1.941.697 ,3.322.115 ,"",5.263.812 ,2.736.501 3.574.790 ,"",6.311.291 ,2.211.064 4.395.238 ,"",6.606.302 ,18.181.404
"",SAMPACHO ,133.493 ,228.397 ,"",361.890 ,188.136 245.768 ,"",433.904 ,152.012 302.175 ,"",454.186 ,1.249.980
"",SAN BASILIO ,77.901 ,133.284 ,"",211.186 ,109.789 143.422 ,"",253.211 ,88.708 176.338 ,"",265.047 ,729.443
"",SANTA CATALINA ,83.458 ,142.791 ,"",226.249 ,117.620 153.652 ,"",271.272 ,95.036 188.916 ,"",283.952 ,781.474
"",TOSQUITA ,43.279 ,74.048 ,"",117.327 ,60.995 79.680 ,"",140.675 ,49.283 97.967 ,"",147.250 ,405.252
"",VICUÑA MACKENNA ,164.793 ,281.951 ,"",446.744 ,232.249 303.395 ,"",535.644 ,187.655 373.027 ,"",560.682 ,1.543.070
Total RIO CUARTO ,"",3.611.640 ,6.179.278 ,"",9.790.918 ,5.090.011 6.649.264 ,"",11.739.274 ,4.112.674 8.175.334 ,"",12.288.008 ,33.818.200
TOTAL BRUTO ,"",MES ,QUINC.,"","","","","","","","",""
"","",04 - ABRIL ,"","",ABRIL ,05 - MAYO ,"",MAYO ,06 - JUNIO ,"",JUNIO ,Total general
DEPARTAMENTO ,M U N I C I P I O ,1ª ,2ª ,"","",1ª 2ª ,"","",1ª 2ª,"","",""
"",LA PARA ,86.955 ,148.774 ,"",235.728 ,122.548 160.089 ,"",282.637 ,99.018 196.831 ,"",295.849 ,814.214
"",LA PUERTA ,67.333 ,115.203 ,"",182.536 ,94.895 123.965 ,"",218.860 ,76.674 152.416 ,"",229.090 ,630.487
"",MONTE CRISTO ,170.219 ,291.234 ,"",461.453 ,239.896 313.385 ,"",553.281 ,193.833 385.309 ,"",579.143 ,1.593.877
"",OBISPO TREJO ,71.186 ,121.795 ,"",192.981 ,100.325 131.059 ,"",231.384 ,81.062 161.138 ,"",242.200 ,666.565
"",PIQUILLIN ,55.259 ,94.545 ,"",149.804 ,77.879 101.736 ,"",179.614 ,62.925 125.085 ,"",188.010 ,517.428
"",RIO PRIMERO ,133.505 ,228.419 ,"",361.925 ,188.154 245.792 ,"",433.946 ,152.026 302.204 ,"",454.230 ,1.250.101
