DEPARTAMENTO M U N I C I P I O ,"","","",07- JULIO , TOTAL JULIO ,"",08- AGOSTO , TOTAL ,09- SEPTIEMBRE , TOTAL 
"","","",1° ,2° ,"",1° ,2° ,AGOSTO ,1° 2° ,SEPTIEMBRE 
ISLA VERDE ,"","","1 94.543,4 "," 469.672,9 ","6 64.216,3 "," 279.198,1 "," 396.770,5 ","6 75.968,6 "," 223.290,8 431.775,4 ","6 55.066,2"
LEONES ,"","","3 55.798,0 ","8 58.979,1 "," 1.214.777,1 "," 510.622,1 "," 725.648,8 "," 1.236.270,9 ","408.373,8  789.668,9 "," 1.198.042,7"
LOS SURGENTES ,"","","1 55.863,2 "," 376.290,1 ","5 32.153,3 "," 223.686,5 "," 317.882,5 ","5 41.569,0 ","178.894,9  345.927,6 ","5 24.822,5"
MARCOS JUAREZ ,"","","7 68.527,4 "," 1.855.403,7 "," 2.623.931,2 ","1.102.948,9 ","1.567.409,0 "," 2.670.357,9 ","882.091,7  1.705.692,9 ","2.587.784,6"
MONTE BUEY ,"","","2 46.057,6 ","594.040,3 ","8 40.097,9 "," 353.128,6 ","501.833,7 ","8 54.962,3 ","282.417,2  546.107,7 ","8 28.525,0"
SAIRA ,"","","1 00.940,7 "," 243.694,3 ","3 44.635,0 "," 144.864,6 "," 205.868,2 ","3 50.732,8 ","115.856,6 224.030,8 ","3 39.887,4"
Total MARCOS JUAREZ ,"","4 .006.566,3 ","","9.672.781,6 ","13.679.347,9 ","5.750.006,8 ","8.171.377,7 ","13.921.384,5 ","4.598.611,1 8.892.293,9 ","13.490.905,0"
MINAS,"","","","","","","","","",""
SAN CARLOS MINAS ,"","","1 30.956,4 ","3 16.159,3 ","4 47.115,7 "," 187.941,6 "," 267.085,2 ","4 55.026,8 "," 150.307,7  290.648,7 ","4 40.956,4"
Total MINAS ,"",1 ,"30.956,4 ","316.159,3 ","447.115,7 ","187.941,6 ","267.085,2 ","455.026,8 ","150.307,7 290.648,7 ","440.956,4"
POCHO,"","","","","","","","","",""
SALSACATE ,"","","1 44.611,3 ","3 49.125,2 ","4 93.736,5 "," 207.538,3 "," 294.934,2 ","5 02.472,5 "," 165.980,3  320.954,6 ","4 86.934,9"
Total POCHO ,"",1 ,"44.611,3 ","349.125,2 ","493.736,5 ","207.538,3 ","294.934,2 ","502.472,5 ","165.980,3 320.954,6 ","486.934,9"
PTE.ROQUE SAENZ PEÑA,"","","","","","","","","",""
GENERAL LEVALLE ,"","","2 35.227,4 ","5 67.893,6 ","8 03.121,0 "," 337.585,6 "," 479.745,4 ","8 17.331,1 "," 269.986,6  522.070,8 ","7 92.057,4"
LA CESIRA ,"","","1 14.883,9 ","277.356,5 ","3 92.240,4 "," 164.875,2 "," 234.305,3 ","3 99.180,5 "," 131.860,2  254.976,8 ","3 86.837,0"
LABOULAYE ,"","","6 34.026,4 "," 1.530.687,0 ","2.164.713,4 "," 909.920,4 ","1.293.094,6 "," 2.203.015,0 ","727.715,6 1.407.177,3 "," 2.134.892,9"
MELO ,"","","1 13.591,1 ","274.235,4 ","3 87.826,5 ","163.019,8 "," 231.668,7 ","3 94.688,5 ","130.376,3 252.107,6 ","3 82.483,9"
ROSALES ,"","","9 4.786,8 "," 228.837,4 ","3 23.624,3 ","136.032,9 "," 193.317,4 ","3 29.350,4 ","108.793,4 210.372,8 ","3 19.166,1"
SERRANO ,"","","1 65.343,4 "," 399.177,4 ","5 64.520,8 "," 237.291,9 "," 337.217,3 ","5 74.509,2 "," 189.776,0  366.968,1 ","5 56.744,1"
VILLA ROSSI ,"","","9 3.870,3 "," 226.624,8 ","3 20.495,1 ","134.717,6 ","191.448,2 ","3 26.165,8 "," 107.741,4  208.338,6 ","3 16.080,0"
Total PTE.ROQUE SAENZ PEÑA ,"","1.451.729,4 ","","3.504.812,0 ","4.956.541,5 ","2.083.443,4 ","2.960.797,0 ","5.044.240,4 ","1.666.249,5 3.222.012,0 ","4.888.261,5"
PUNILLA,"","","","","","","","","",""
BIALET MASSE ,"","","217.392,0 ","5 24.834,7 ","7 42.226,7 "," 311.989,2 "," 443.370,2 ","7 55.359,3 "," 249.515,7  482.486,3 ","7 32.002,0"
CAPILLA DEL MONTE ,"","","3 38.796,2 ","817.932,6 "," 1.156.728,8 ","486.221,9 "," 690.973,6 "," 1.177.195,4 "," 388.859,6  751.934,4 "," 1.140.794,0"
DEPARTAMENTO ,M U N I C I P I O ,"",07- JULIO , TOTAL JULIO ,"",08- AGOSTO ,"", TOTAL ,09- SEPTIEMBRE , TOTAL 
"","",1° ,2° ,"",1° ,2° ,"",AGOSTO ,1° 2° ,SEPTIEMBRE 
"",COSQUIN ,"5 80.633,7 "," 1.401.784,6 ","1.982.418,3 ","833.294,0 "," 1.184.200,4 ",""," 2.017.494,4 ","666.433,1  1.288.675,9 ","1.955.109,1"
"",HUERTA GRANDE ,"2 31.260,1 "," 558.315,7 ","7 89.575,8 "," 331.892,0 "," 471.654,2 ","","8 03.546,2 "," 265.433,1  513.265,7 ","7 78.698,8"
"",LA CUMBRE ,"2 74.185,1 ","661.946,4 ","9 36.131,5 ","393.495,5 "," 559.199,5 ","","9 52.695,0 ","314.701,0  608.534,6 ","9 23.235,6"
