"","",01 - ENERO ,"",Total 01 - ENERO ,02 - FEBRERO ,"",Total 02 - FEBRERO ,03 - MARZO ,"",Total 03 - MARZO ,Total general
DEP. ,M U N I C I P I O ,1ª ,2ª ,"",1ª ,2ª ,"",1ª ,2ª,"",""
CALAMUCHITA,"","","","","","","","","","",""
"",VILLA DE MARIA ,54.949 ,144.294 ,199.243 ,83.862 ,149.927 ,233.790 ,76.925 ,134.591 ,211.516 ,644.548
Total RIO SECO ,"",92.361 ,242.536 ,334.897 ,140.960 ,252.005 ,392.965 ,129.300 ,226.226 ,355.526 ,1.083.387
RIO SEGUNDO,"","","","","","","","","","",""
"",CALCHIN ,34.195 ,89.795 ,123.990 ,52.188 ,93.301 ,145.489 ,47.871 ,83.757 ,131.628 ,401.107
"",CALCHIN OESTE ,25.358 ,66.589 ,91.947 ,38.701 ,69.189 ,107.890 ,35.500 ,62.111 ,97.611 ,297.447
"",CAPILLA DEL CARMEN ,22.363 ,58.724 ,81.086 ,34.130 ,61.016 ,95.146 ,31.306 ,54.775 ,86.081 ,262.313
"",CARRILOBO ,31.503 ,82.727 ,114.230 ,48.080 ,85.956 ,134.036 ,44.103 ,77.164 ,121.266 ,369.533
"",COLAZO ,30.141 ,79.150 ,109.291 ,46.001 ,82.240 ,128.241 ,42.196 ,73.827 ,116.023 ,353.556
"",COSTASACATE ,28.824 ,75.692 ,104.516 ,43.991 ,78.647 ,122.638 ,40.352 ,70.602 ,110.954 ,338.109
"",LAGUNA LARGA ,68.415 ,179.654 ,248.068 ,104.413 ,186.668 ,291.081 ,95.776 ,167.573 ,263.349 ,802.499
"",LAS JUNTURAS ,31.077 ,81.608 ,112.685 ,47.430 ,84.794 ,132.224 ,43.506 ,76.120 ,119.626 ,364.536
"",LUQUE ,58.370 ,153.278 ,211.648 ,89.084 ,159.262 ,248.346 ,81.715 ,142.971 ,224.685 ,684.680
"",MANFREDI ,26.100 ,68.538 ,94.638 ,39.834 ,71.214 ,111.048 ,36.539 ,63.929 ,100.468 ,306.154
"",MATORRALES ,26.675 ,70.047 ,96.722 ,40.711 ,72.782 ,113.493 ,37.343 ,65.337 ,102.680 ,312.894
"",ONCATIVO ,101.756 ,267.207 ,368.964 ,155.299 ,277.640 ,432.939 ,142.452 ,249.239 ,391.691 ,1.193.594
"",PILAR ,107.908 ,283.362 ,391.270 ,164.688 ,294.425 ,459.113 ,151.065 ,264.307 ,415.372 ,1.265.754
"",POZO DEL MOLLE ,57.421 ,150.786 ,208.207 ,87.636 ,156.673 ,244.308 ,80.386 ,140.646 ,221.032 ,673.547
"",RIO SEGUNDO ,146.324 ,384.240 ,530.564 ,223.318 ,399.242 ,622.560 ,204.844 ,358.402 ,563.246 ,1.716.369
"",SANTIAGO TEMPLE ,37.481 ,98.423 ,135.904 ,57.203 ,102.266 ,159.469 ,52.471 ,91.806 ,144.277 ,439.649
